,nev,E,ctau,m,lam121,Br,cos
21,1.961970506652998e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,0.3000000000000001
21,1.9283698615372807e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,0.5000000000000001
21,1.8787757824042114e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,0.7000000000000001
21,1.768333547794646e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,0.9
22,1.222234049278477e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,-0.9
22,1.297561200833671e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,-0.7
22,1.3345953188753415e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,-0.5
22,1.358720310750062e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,-0.2999999999999999
22,1.371002621370828e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,-0.0999999999999999
22,1.3781604698962397e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,0.0999999999999999
22,1.3624441077874376e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,0.3000000000000001
22,1.3391244498989347e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,0.5000000000000001
22,1.3046894712919284e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,0.7000000000000001
22,1.227998186554298e-08,1166.760716081662,414168.5059041121,0.53,0.0026366508987303,3.867768426772533e-09,0.9
23,8.427070318392329e-08,1166.760716081662,157081.28296527572,0.53,0.0042813323987193,1.019795503397575e-08,-0.9
23,8.962247095102488e-08,1166.760716081662,157081.28296527572,0.53,0.0042813323987193,1.019795503397575e-08,-0.7
23,9.234998175638573e-08,1166.760716081662,157081.28296527572,0.53,0.0042813323987193,1.019795503397575e-08,-0.5
23,9.418728270257935e-08,1166.760716081662,157081.28296527572,0.53,0.0042813323987193,1.019795503397575e-08,-0.2999999999999999
23,9.519950427085907e-08,1166.760716081662,157081.28296527572,0.53,0.0042813323987193,1.019795503397575e-08,-0.0999999999999999
23,9.578362352430737e-08,1166.760716081662,157081.28296527572,0.53,0.0042813323987193,1.019795503397575e-08,0.0999999999999999
